Results from query to NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:36:45PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
78,NGC 0890,35.50421,33.26606,G,3946,0.013164,SLS,12.2,0,124,4,54,20,13,7,0
79,NGC 0891,35.63922,42.34915,G,528,0.001761,SUN,10.81,0,935,26,131,68,26,8,1
80,NGC 0908,35.76904,-21.23386,G,1505,0.005019,SUN,10.83,0,231,8,98,28,21,20,0
81,NGC 0925,36.82033,33.57917,G,553,0.001845,S1L,10.69,0,745,15,168,76,32,8,0
82,NGC 0936,36.90608,-1.15628,G,1434,0.004783,S1L,11.12,0,356,10,121,34,29,12,0
83,NGC 0955,37.63811,-1.10841,G,1482,0.004943,S1L,12.93,0,113,3,97,28,24,16,0
84,NGC 0949,37.70271,37.13678,G,609,0.002031,SUN,12.4,0,179,7,73,27,19,7,0
85,ESO 115- G 015,37.78867,-57.91836,G,9590,0.031989,SUN,14.37,0,41,2,52,21,11,15,0
86,NGC 0986,38.39312,-39.04506,G,1974,0.006585,S1L,12,0,200,10,116,25,16,19,0
87,NGC 0972,38.55575,29.31128,G,1532,0.00511,S1L,12.27,0,224,10,102,34,24,8,1
88,NGC 0988,38.86563,-9.35619,G,1510,0.005037,UUN,11.5,0,94,4,36,19,14,7,0
89,IC 0239,39.11616,38.96993,G,903,0.003012,SUN,11.8B,0,127,7,32,21,7,7,0
90,Maffei 1,39.14775,59.65492,G,66,0.000221,SUN,11.4,0,127,6,21,15,7,4,1
91,NGC 1022,39.63627,-6.67743,G,1453,0.004847,SUN,12.09,0,227,7,88,28,14,7,0
92,NGC 1003,39.82037,40.87231,G,624,0.002081,S1L,12,0,218,9,81,27,14,7,0
93,NGC 1032,39.84849,1.09379,G,2743,0.00915,S1L,12.1B,0,125,3,58,23,15,8,0
94,Fornax Dwarf Spheroidal,39.9972,-34.44919,G,53,0.000178,UUN,9.28,0,882,6,19,24,11,12,0
95,NGC 1042,40.09986,-8.43354,G,1371,0.004573,S1L,11.5B,0,261,10,124,39,28,15,0
96,NGC 1023,40.10004,39.06329,G,636,0.002121,SUN,10.35,0,549,15,170,44,25,11,1
97,NGC 1052,40.26999,-8.25576,G,1488,0.004963,SUN,12.08,0,1042,25,335,107,72,10,0
98,NGC 1055,40.43846,0.44317,G,996,0.003322,S1L,11.4,0,330,10,105,40,28,8,0
99,MESSIER 077,40.66963,-0.01328,G,1137,0.003793,SUN,9.61,0,2649,61,612,142,91,14,0
100,NGC 1058,40.87499,37.34134,G,520,0.001735,S1L,11.2V,0,512,10,125,43,24,7,0
101,NGC 1073,40.91881,1.37611,G,1211,0.004039,SUN,11.47,0,356,14,90,32,17,8,0
102,NGC 1079,40.93475,-29.00336,G,1452,0.004843,UUN,12.74,0,157,9,96,22,14,19,0
103,NGC 1084,41.49962,-7.57847,G,1411,0.004707,S1L,11.6g,0,464,9,135,36,26,11,1
104,NGC 1097,41.57937,-30.27489,G,1271,0.00424,UUN,10.23,0,946,28,335,82,47,20,0
105,NGC 1087,41.60485,-0.49865,G,1523,0.00508,SLS,12.2g,0,396,9,135,41,36,16,1
106,NGC 1090,41.6414,-0.24716,G,2740,0.009141,SLS,12.51,0,200,5,88,29,27,12,0
107,ESO 199- G 001,42.26262,-49.93911,G,9476,0.031608,SLS,13.7,0,26,1,41,12,6,15,0
108,NGC 1145,43.63963,-18.63508,G,2063,0.006881,S1L,13.81,0,80,2,69,23,17,19,0
109,NGC 1156,44.92625,25.23783,G,375,0.001251,SUN,12.32,0,335,11,114,39,25,8,0
110,NGC 1161,45.30888,44.89733,G,1901,0.00634,SLS,12.05,0,88,7,40,19,13,7,0
111,NGC 1187,45.65662,-22.86717,G,1390,0.004637,UUN,11.67,0,285,11,104,31,19,23,0
112,WISEA J030319.11-561139.3,45.82958,-56.19428,G,9746,0.032509,SLS,15.27,0,15,0,39,10,4,2,0
113,NGC 1169,45.89479,46.38636,G,2388,0.007966,S1L,12.2,0,131,5,57,22,16,8,0
114,NGC 1199,45.91004,-15.61319,G,2570,0.008573,SUN,12.37,0,206,6,125,27,20,7,1
115,NGC 1171,45.99579,43.39831,G,2742,0.009146,SUN,13,0,70,1,53,19,8,7,0
116,NGC 1201,46.03325,-26.06964,G,1686,0.005624,UUN,12.2,0,202,4,79,20,17,19,0
117,NGC 1174,46.37858,42.8355,G,2740,0.00914,S1L,12.2,0,72,1,49,22,15,6,0
118,NGC 1209,46.51258,-15.61125,G,2600,0.008673,SUN,12.86,0,169,6,76,23,21,6,1
119,MCG -07-07-004,46.52421,-39.02042,G,6491,0.021652,SUN,15.1,0,19,0,38,7,3,16,0
120,IC 0284,46.54129,42.37192,G,2722,0.00908,SUN,12.47,0,47,2,43,14,11,8,0
121,NGC 1218,47.10927,4.11092,G,8485,0.028302,SLS,13.84,0,396,9,219,56,24,12,0
122,NGC 1232,47.43962,-20.57931,G,1603,0.005347,SUN,10.93,0,307,7,108,27,17,19,0
123,NGC 1249,47.50512,-53.33575,G,1073,0.003579,UUN,12.19,0,125,5,75,23,23,18,0
124,NGC 1241,47.811,-8.92214,G,4026,0.013429,S1L,11.99,0,223,8,140,26,24,7,0
125,NGC 1247,48.05967,-10.48111,G,3947,0.013166,S1L,13.47,0,66,1,52,16,10,7,0
126,NGC 1255,48.3835,-25.72517,G,1686,0.005624,UUN,12.06,0,171,8,68,25,19,20,0
127,NGC 1253,48.53771,-2.82294,G,1713,0.005713,SUN,12.27,0,118,4,68,22,23,6,0
128,IC 0310,49.17907,41.32497,G,5651,0.018849,SLS,13.89,0,220,5,64,31,26,11,0
129,NGC 1184,49.18762,80.79333,G,2342,0.007812,SUN,13.44,0,46,1,37,13,7,7,0
130,NGC 1291,49.32744,-41.10807,G,839,0.002799,SUN,9.39,0,381,12,230,45,21,25,0
131,NGC 1313,49.56688,-66.49825,G,470,0.001568,UUN,9.2,0,589,16,91,45,21,18,0
132,NGC 1272,49.83871,41.49064,G,3815,0.012725,SUN,12.86,0,125,5,77,28,22,10,1
133,NGC 1300,49.92117,-19.41136,G,1578,0.005264,S1L,11.42,0,469,20,100,31,17,20,0
134,ESO 200-IG 004 NED01,49.92646,-51.04594,G,9412,0.031395,SLS,15.81,0,20,1,45,9,6,13,0
135,NGC 1275,49.95067,41.5117,G,5264,0.017559,SUN,11.8B,0,2099,47,657,141,83,18,0
136,NGC 1302,49.96324,-26.06044,G,1710,0.005704,UUN,11.69,0,185,8,88,20,14,20,0
137,WISEA J032236.10-580926.8,50.65029,-58.1575,G,13643,0.045508,SLS,14.69,0,11,0,42,9,4,2,0
138,NGC 1316,50.67383,-37.20823,G,1802,0.00601,SUN,9.4 B,0,1002,26,297,66,44,24,0
139,NGC 1317,50.68453,-37.10369,G,1941,0.006474,SUN,11.91,0,211,12,103,24,16,25,0
140,NGC 1326,50.985,-36.46467,G,1360,0.004537,SUN,12.2,0,270,11,122,25,24,20,0
141,NGC 1325,51.10654,-21.54403,G,1591,0.005307,S1L,12.49,0,195,9,72,27,22,20,0
142,NGC 1332,51.57188,-21.33522,G,1619,0.0054,SUN,12.11,0,343,7,113,32,17,22,0
143,NGC 1337,52.02483,-8.38861,G,1239,0.004133,S1L,13.24,0,130,5,73,24,20,7,0
144,NGC 1339,52.02742,-32.28611,G,1392,0.004643,SUN,12.5B,0,183,3,78,24,18,20,0
145,NGC 1344,52.08196,-31.06817,G,1241,0.00414,SUN,11.27,0,210,6,84,18,17,19,0
146,NGC 1351,52.64575,-34.85394,G,1514,0.00505,SUN,12.5B,0,195,7,75,24,24,20,0
147,NGC 1350,52.78383,-33.62864,G,1905,0.006354,SUN,11.46,0,211,10,81,23,20,20,0
148,IC 1954,52.88079,-51.90483,G,1062,0.003542,UUN,12.15,0,140,7,101,30,23,18,0
149,NGC 1353,53.01258,-20.81917,G,1525,0.005087,SUN,12.57,0,163,7,60,20,18,20,0
150,NGC 1357,53.32117,-13.66414,G,2009,0.006701,SST,12.83,0,162,5,49,19,14,7,0
151,NGC 1365,53.40155,-36.1404,G,1636,0.005457,SUN,10.32,0,1302,35,408,123,83,25,0
152,UGC 02783,53.57679,39.35684,G,6054,0.020195,SLS,13.9,0,112,5,60,30,16,12,0
153,NGC 1371,53.75559,-24.93323,G,1463,0.00488,UUN,11.2B,0,231,12,97,32,18,23,0
154,NGC 1374,53.81912,-35.22625,G,1294,0.004316,SUN,12.0B,0,282,6,98,29,24,20,0
155,NGC 1379,54.01646,-35.44119,G,1324,0.004416,SUN,11.8B,0,254,7,94,25,24,20,1
156,NGC 1380,54.11497,-34.97622,G,1877,0.006261,SUN,10.9B,0,519,8,134,36,18,23,0
157,NGC 1381,54.132,-35.29519,G,1724,0.005751,SUN,12.4B,0,247,8,117,31,25,23,0
158,NGC 1386,54.19243,-35.99941,G,868,0.002895,SUN,12.09,0,466,22,223,51,39,20,2
159,NGC 1387,54.23775,-35.50664,G,1302,0.004343,SUN,12.01,0,250,7,122,34,23,20,0
160,NGC 1389,54.29908,-35.74559,G,921,0.003072,SUN,13.16,0,212,7,90,31,23,20,0
161,NGC 1385,54.3702,-24.5003,G,1497,0.004993,UUN,11.76,0,304,7,122,40,22,19,0
162,NGC 1399,54.62094,-35.45066,G,1425,0.004753,SUN,10.6B,0,942,25,133,54,41,18,0
163,NGC 1395,54.62396,-23.02752,G,1717,0.005727,SUN,10.97,0,292,9,81,32,22,18,0
164,NGC 1411,54.68696,-44.10061,G,983,0.003279,SUN,12.23,0,125,4,59,14,16,19,1
165,NGC 1404,54.71633,-35.59439,G,1947,0.006494,SUN,11.0B,0,616,12,184,46,31,24,0
166,NGC 1398,54.71721,-26.33783,G,1396,0.004657,UUN,10.63,0,258,12,119,28,14,20,0
167,NGC 1406,54.84708,-31.32142,G,1075,0.003585,SUN,12.4,0,138,5,79,25,22,18,0
168,NGC 1400,54.87848,-18.68807,G,590,0.001968,UUN,11.92,0,281,10,100,31,24,21,1
169,NGC 1407,55.04942,-18.58011,G,1779,0.005934,SUN,10.7,0,494,12,113,42,31,18,0
